노선,역A,역B,인원
우이신설선,가오리,화계,38909.1
1호선,성균관대,화서,38908.4
신분당선,상현,성복,38907.8
1호선,수원,화서,38837.6
신림선,대방,샛강,38383.9
인천지하철 2호선,석천사거리,인천시청,38221.3
인천지하철 2호선,모래내시장,석천사거리,38221.3
김포도시철도,운양,장기,37878.8
4호선,중앙,한대앞,37856.3
4호선,과천,정부과천청사,37061.0
인천지하철 1호선,인천대입구,지식정보단지,36792.7
서해선,시흥시청,신현,36407.8
에버라인,강남대,기흥,36399.2
5호선 본선,하남시청,하남풍산,35736.5
신분당선,광교중앙,상현,35626.4
4호선,고잔,중앙,35215.6
4호선,고잔,초지,34913.7
8호선,남한산성입구,산성,34611.6
8호선,남위례,복정,34587.4
8호선,남위례,산성,34587.4
7호선,부천시청,상동,34420.6
7호선,삼산체육관,상동,34420.6
7호선,굴포천,삼산체육관,34420.6
경의중앙선,월롱,파주,33901.0
8호선,모란,수진,33891.2
8호선,남한산성입구,단대오거리,33390.6
4호선,노원,상계,33360.3
3호선,대화,주엽,33122.5
김포도시철도,마산,장기,32709.5
서해선,시흥능곡,시흥시청,32680.1
의정부,경기도청북부청사,새말,32057.4
7호선,굴포천,부평구청,31673.3
경춘선,천마산,평내호평,30960.0
8호선,수진,신흥,30271.3
4호선,남태령,사당,30139.6
서해선,달미,시흥능곡,29797.0
서해선,달미,선부,29797.0
서해선,선부,초지,29797.0
7호선,도봉산,수락산,29453.2
인천지하철 2호선,만수,모래내시장,29441.4
1호선,개봉,오류동,29232.4
8호선,단대오거리,신흥,28533.5
1호선,남영,용산,28264.5
6호선,구산,연신내,27989.0
2호선 신정지선,신정네거리,양천구청,27876.9
5호선 마천지선,개롱,거여,26600.5
6호선,독바위,연신내,26150.5
경의중앙선,문산,파주,26102.9
6호선,봉화산,신내,25979.9
4호선,과천,대공원,25280.1
1호선,간석,동암,24886.7
1호선,동암,백운,24886.7
1호선,백운,부평,24886.7
1호선,간석,주안,24886.7
5호선 본선,개화산,김포공항,24782.1
4호선,안산,초지,24730.5
경강선,삼동,이매,24719.3
우이신설선,4.19민주묘지,가오리,24450.1
김포도시철도,구래,마산,24314.7
에버라인,강남대,지석,24248.3
4호선,능길,안산,23787.3
인천지하철 1호선,센트럴파크,인천대입구,23758.2
경강선,경기광주,삼동,23321.2
9호선,둔촌오륜,올림픽공원,22927.0
1호선,도화,주안,22386.9
서해선,김포공항,능곡,21738.0
의정부,곤제,효자,21411.1
의정부,경기도청북부청사,효자,21411.1
