역명,위도,경도,시도,호선목록,노선수
주안국가산단,37.473599,126.681102,인천,인천지하철 2호선,1
주엽,37.670138,126.761232,경기,일산선,1
죽전,37.324575,127.107385,경기,분당선,1
중계,37.645052,127.064084,서울,7호선,1
중곡,37.565877,127.084291,서울,7호선,1
중동,37.486664,126.764474,경기,1호선,1
중랑,37.594948,127.076152,서울,경의중앙선|경춘선,2
중앙,37.316055,126.838532,경기,수인선|안산과천선,2
중앙보훈병원,37.528807,127.148488,서울,9호선,1
중화,37.602604,127.079254,서울,7호선,1
증미,37.55785,126.861067,서울,9호선,1
증산,37.583989,126.909785,서울,6호선,1
지석,37.269737,127.136326,경기,에버라인,1
지식정보단지,37.378021,126.645412,인천,인천지하철 1호선,1
지축,37.648197,126.913148,경기,3호선|일산선,2
지평,37.476496,127.629681,경기,경의중앙선,1
지행,37.892361,127.055734,경기,1호선,1
진위,37.109771,127.062342,경기,1호선,1
진접,37.720472,127.203167,경기,진접선,1
창동,37.653087,127.047204,서울,1호선|4호선,2
창신,37.579772,127.015246,서울,6호선,1
천마산,37.658995,127.285731,경기,경춘선,1
천왕,37.486699,126.838684,서울,7호선,1
천호,37.538243,127.123359,서울,5호선|8호선,2
철산,37.47616,126.868217,서울,7호선,1
청계산입구,37.448715,127.05434,서울,신분당선,1
청구,37.560229,127.013783,서울,5호선|6호선,2
청담,37.519097,127.051851,서울,7호선,1
청라국제도시,37.556509,126.624725,인천,인천국제공항선,1
청량리,37.580096,127.046326,서울,1호선|경의중앙선,2
청명,37.259485,127.078945,경기,분당선,1
청산,37.995138,127.074097,경기,1호선,1
청평,37.735484,127.426541,경기,경춘선,1
초당,37.260806,127.159469,경기,에버라인,1
초월,37.373389,127.299996,경기,경강선,1
초지,37.320416,126.806784,경기,서해선|수인선|안산과천선,3
총신대입구,37.48639,126.982037,서울,4호선|7호선,2
춘의,37.50365,126.787069,경기,도시철도 7호선,1
충무로,37.561302,126.995473,서울,3호선|4호선,2
충정로,37.559901,126.963619,서울,2호선|5호선,2
캠퍼스타운,37.388209,126.661985,인천,인천지하철 1호선,1
탄현,37.694114,126.761075,경기,경의중앙선,1
탑석,37.733554,127.088906,경기,의정부,1
태릉입구,37.617319,127.074741,서울,6호선|7호선,2
태평,37.439842,127.127746,경기,분당선,1
테크노파크,37.382311,126.656355,인천,인천지하철 1호선,1
퇴계원,37.648316,127.143858,경기,경춘선,1
파라다이스시티,37.437217,126.459858,인천,자기부상철도,1
파주,37.815391,126.792426,경기,경의중앙선,1
판교,37.395256,127.111173,경기,경강선|신분당선,2
팔당,37.547321,127.243896,경기,경의중앙선,1
평내호평,37.653229,127.244452,경기,경춘선,1
평촌,37.394346,126.963881,경기,안산과천선,1
평택,36.990559,127.085496,경기,1호선,1
평택지제,37.018822,127.070269,경기,1호선,1
풍무,37.612333,126.732583,경기,김포도시철도,1
풍산,37.672173,126.786355,경기,경의중앙선|서해선,2
하계,37.636363,127.067999,서울,7호선,1
하남검단산,37.539729,127.223427,서울,5호선,1
하남시청,37.541723,127.206901,서울,5호선,1
하남풍산,37.552201,127.203897,서울,5호선,1
학동,37.514262,127.031738,서울,7호선,1
학여울,37.496757,127.070541,서울,3호선,1
한강진,37.53956,127.001729,서울,6호선,1
한국항공대,37.603102,126.868291,경기,경의중앙선,1
한남,37.529361,127.008984,서울,경의중앙선,1
한대앞,37.309835,126.853581,경기,수인선|안산과천선,2
한성대입구,37.58838,127.006751,서울,4호선,1
한성백제,37.516369,127.116211,서울,9호선,1
한양대,37.55658,127.043504,서울,2호선,1
한티,37.496208,127.052883,서울,분당선,1
합동청사,37.440519,126.458654,인천,자기부상철도,1
합정,37.549529,126.914052,서울,2호선|6호선,2
행당,37.557297,127.029482,서울,5호선,1
행신,37.612125,126.834063,경기,경의중앙선,1
혜화,37.582116,127.001759,서울,4호선,1
호구포,37.401622,126.708682,인천,수인선,1
홍대입구,37.557356,126.925657,서울,2호선|경의중앙선|인천국제공항선,3
홍제,37.588851,126.944092,서울,3호선,1
화계,37.63428,127.0175,서울,우이신설선,1
화곡,37.541585,126.840436,서울,5호선,1
화랑대,37.619875,127.084106,서울,6호선,1
화서,37.28399,126.989581,경기,1호선,1
화정,37.634708,126.832503,경기,일산선,1
회기,37.589702,127.057936,서울,1호선|경의중앙선,2
회룡,37.724545,127.047053,경기,1호선|의정부,2
회현,37.559698,126.979565,서울,4호선,1
효자,37.753985,127.077316,경기,의정부,1
효창공원앞,37.539034,126.961844,서울,6호선|경의중앙선,2
흑석,37.508889,126.963611,서울,9호선,1
흥선,37.743225,127.037176,경기,의정부,1
