역명,내국인,장기외국,단기외국,전체,단기비중,외국인비중
명동,18623.61821717807,1537.756667668149,4104.346964258786,24265.721849105008,16.91,23.25
명일,10486.77167115883,178.36791413290973,291.8418896236,10956.98147491534,2.66,4.29
명학,5283.762304725948,142.6920940898976,133.81476150630482,5560.269160322149,2.41,4.97
모란,26107.249359810663,1725.6961078902395,953.864489818232,28786.809957519134,3.31,9.31
모래내시장,5602.249902717177,225.62154147708932,144.0224306354657,5971.893874829732,2.41,6.19
목동,10189.843724819555,286.56500996873626,371.76476528513916,10848.17350007343,3.43,6.07
몽촌토성,5702.627384621467,174.47641420985326,270.8019322822259,6147.905731113546,4.4,7.24
무악재,8677.889474003157,183.76841043043768,278.5316718363224,9140.189556269917,3.05,5.06
문래,13751.947074729054,501.464839141843,668.988909987454,14922.400823858352,4.48,7.84
문산,6048.328319045657,141.28726944512547,369.5868206826758,6559.202409173458,5.63,7.79
문정,14081.19208666254,389.9947319667866,469.40977968544166,14940.596598314769,3.14,5.75
문학경기장,9456.255280785828,380.83536616546996,243.1010565215387,10080.191703472836,2.41,6.19
미금,5797.168463514428,103.84179251361817,156.67358168721339,6057.68383771526,2.59,4.3
미아,9988.536812897479,479.428947555535,248.9043326488836,10716.870093101898,2.32,6.8
미아사거리,16006.040744242007,501.57607605367406,347.27360644872067,16854.8904267444,2.06,5.04
박촌,6027.948243485156,157.7531443827569,279.67956733060197,6465.380955198515,4.33,6.77
반포,5197.726330359738,234.9592170417103,275.3609984854267,5708.046545886875,4.82,8.94
발곡,4480.156122114601,182.55687450241618,207.10608745506383,4869.819084072082,4.25,8.0
발산,3490.6114423140143,64.46612419688677,153.3391598648772,3708.4167263757786,4.13,5.87
방배,15621.839672825176,422.93768739277795,507.03694277209297,16551.814302990046,3.06,5.62
방학,7615.038868773586,134.74639010070973,351.4105489183106,8101.195807792606,4.34,6.0
방화,8639.620423494618,160.71270267620497,1243.8756020547214,10044.208728225543,12.38,13.98
백마,6643.441694327774,144.61036954896238,200.2853618253129,6988.33742570205,2.87,4.94
버티고개,2655.6136152289937,159.4467882293178,204.36403130618817,3019.4244347645,6.77,12.05
범계,17611.950253035287,392.3024952644124,407.46474759947887,18411.717495899178,2.21,4.34
보라매,12322.091156325334,486.8035050101845,348.59939783909476,13157.494059174613,2.65,6.35
보라매공원,4207.667769683538,265.45237021872845,131.05238806601182,4604.172527968279,2.85,8.61
보라매병원,4755.681386332534,258.669470042786,155.22057580476206,5169.571432180082,3.0,8.01
보문,10600.359715337656,694.921362444765,493.21989357189364,11788.500971354315,4.18,10.08
복정,7166.534351257567,166.605542141491,399.41844853657835,7732.558341935637,5.17,7.32
봉은사,23816.515609889626,1226.043326500145,1945.3993932211406,26987.958329610912,7.21,11.75
봉천,19891.057055544217,1128.4210108393352,615.0475518758822,21634.525618259435,2.84,8.06
봉화산,5966.222981874772,149.06083204832353,191.46197877023653,6306.745792693332,3.04,5.4
부개,6738.643587835433,397.13707799302756,193.34305112818447,7329.123716956645,2.64,8.06
부천,10846.09408095526,637.4297249898284,379.9548210715143,11863.478627016602,3.2,8.58
부천시청,6620.608646910463,341.59515650831213,226.34534152312256,7188.549144941898,3.15,7.9
부천종합운동장,22435.831720324568,1090.1418429849682,777.4798685330586,24303.453431842594,3.2,7.68
부평,31782.385990161638,1873.071893365074,911.8902638751017,34567.34814740181,2.64,8.06
부평구청,11930.85586115244,703.1363467875666,342.3163793571048,12976.308587297113,2.64,8.06
부평시장,8379.974796003855,493.86774367290707,240.4356120512837,9114.278151728045,2.64,8.06
북한산보국문,6016.506691062753,251.36082302116813,180.46303806804312,6448.330552151964,2.8,6.7
북한산우이,4324.396998599968,81.32410767212323,93.54859497726488,4499.269701249356,2.08,3.89
불광,18987.06197100737,363.9644467778221,650.314322566874,20001.34074035207,3.25,5.07
불암산,4997.840072911481,54.20678230640672,168.66162306896072,5220.708478286849,3.23,4.27
사가정,9666.692285014828,376.9939451222171,263.3050955265835,10306.991325663628,2.55,6.21
