역명,시도,호선목록,노선수,위도,경도,x,y,원수,원id,등급,회수일수,하루승차,첨두비중,단기외국인비중,관광명물,승하차출처
별내,경기,경춘선|수도권 광역철도 8호선,2,37.642369,127.127254,2179.1,636.48,1,336,D,1.5,2400,0.1018,,,실적
별내별가람,경기,진접선,1,37.667833,127.116167,2097.06,417.47,1,351,E,1.0,,,,,
병점,경기,1호선,1,37.206821,127.033268,1126.37,2366.89,1,668,C,2.0,14667,0.1209,,,실적
보라매,서울,7호선|신림선,2,37.500114,126.920299,1001.84,1709.29,1,640,C,2.0,11021,0.1208,2.65,,실적
보라매공원,서울,신림선,1,37.495225,126.918259,1007.14,1729.12,1,165,D,1.5,2397,0.0997,2.85,,실적
보라매병원,서울,신림선,1,37.492961,126.923886,1007.14,1752.95,1,166,C,2.0,7971,0.1461,3.0,,실적
보문,서울,6호선|우이신설선,2,37.585402,127.019384,1521.24,684.73,1,586,C,2.0,9590,0.1326,4.18,,실적
보산,경기,1호선,1,37.914268,127.057134,,,0,,E,1.0,1549,0.0914,,,실적
보정,경기,분당선,1,37.31274,127.108219,1863.48,2296.1,1,423,E,1.0,2339,0.1389,,,실적
보평,경기,에버라인,1,37.258964,127.218481,2243.69,2401.84,1,290,E,1.0,542,0.2216,,,실적
복정,서울,8호선|분당선,2,37.470384,127.126686,2006.08,1904.57,1,655,C,2.0,8829,0.1328,5.17,,실적
봉은사,서울,9호선,1,37.514219,127.060245,1694.72,1594.87,1,80,B,3.0,22995,0.1818,7.21,,실적
봉천,서울,2호선,1,37.482416,126.941896,1059.71,1825.04,1,250,B,3.0,23718,0.1704,2.84,,실적
봉화산,서울,6호선,1,37.617293,127.091375,2046.64,620.69,1,307,D,1.5,7947,0.1826,3.04,,실적
부개,인천,1호선,1,37.488479,126.740549,312.65,1642.22,1,215,D,1.5,8010,0.157,2.64,,실적
부발,경기,경강선,1,37.260411,127.490303,2385.85,2299.27,1,276,D,1.5,2383,0.1031,,,실적
부천,경기,1호선,1,37.484066,126.782779,484.9,1642.22,1,212,A,5.0,30663,0.1024,3.2,,실적
부천시청,경기,도시철도 7호선,1,37.504611,126.763561,414.58,1456.68,1,158,C,2.0,12413,0.1635,3.15,,실적
부천종합운동장,경기,도시철도 7호선|서해선,2,37.505616,126.797424,547.7,1562.78,1,644,D,1.5,2871,0.1704,3.2,,실적
부평,인천,1호선|인천지하철 1호선,2,37.489999,126.72401,266.24,1647.59,1,607,A,5.0,29375,0.097,2.64,,실적
부평구청,인천,도시철도 7호선|인천지하철 1호선,2,37.508146,126.720952,236.78,1461.82,1,606,C,2.0,14301,0.1836,2.64,,실적
부평삼거리,인천,인천지하철 1호선,1,37.478267,126.710494,333.37,1720.36,1,394,E,1.0,,,,,
부평시장,인천,인천지하철 1호선,1,37.498495,126.722282,236.79,1530.4,1,392,B,3.0,22714,0.1786,2.64,,실적
북한산보국문,서울,우이신설선,1,37.61233,127.00816,1469.22,549.76,1,241,D,1.5,5770,0.1273,2.8,,실적
북한산우이,서울,우이신설선,1,37.66284,127.01272,1469.22,298.05,1,233,D,1.5,3093,0.1063,2.08,,실적
불광,서울,3호선|6호선,2,37.610736,126.929674,987.47,522.85,1,639,B,3.0,20585,0.1193,3.25,,실적
불암산,서울,4호선,1,37.67009,127.079004,2025.98,417.47,1,350,C,2.0,9470,0.1625,3.23,,실적
사가정,서울,7호선,1,37.580912,127.088502,1925.12,844.7,1,185,B,3.0,15262,0.151,2.55,,실적
사당,서울,2호선|4호선,2,37.47655,126.981688,1245.92,1874.72,1,651,S,8.0,65978,0.0947,3.53,,실적
사릉,경기,경춘선,1,37.651145,127.176839,2276.1,631.6,1,334,E,1.0,1896,0.1646,4.14,,실적
사리,경기,수인선,1,37.290809,126.857172,966.02,2296.1,1,436,D,1.5,4809,0.1669,,,실적
사우,경기,김포도시철도,1,37.620361,126.719722,256.91,821.55,1,489,E,1.0,,,,,
사평,서울,9호선,1,37.504161,127.015219,1470.05,1594.87,1,77,D,1.5,4173,0.1155,5.07,,실적
산곡,인천,도시철도 7호선,1,37.508547,126.70351,182.74,1456.68,1,152,E,1.0,,,,,
산본,경기,안산과천선,1,37.358019,126.932969,933.47,2102.6,1,44,B,3.0,15890,0.1164,6.61,,실적
산성,서울,8호선,1,37.456886,127.149927,2064.28,1956.9,1,98,D,1.5,5902,0.1715,,,실적
삼가,경기,에버라인,1,37.24206,127.16818,1968.85,2401.84,1,284,E,1.0,,,,,
삼각지,서울,4호선|6호선,2,37.53531,126.973675,1245.92,1277.36,1,593,C,2.0,14187,0.1198,7.64,,실적
삼동,경기,경강선,1,37.408731,127.203447,2099.97,2097.71,1,270,E,1.0,2206,0.1859,,,실적
삼산체육관,인천,도시철도 7호선,1,37.506431,126.742081,321.54,1456.68,1,156,E,1.0,,,,,
삼성,서울,2호선,1,37.508827,127.063203,1678.84,1677.52,1,256,S,8.0,53242,0.1918,6.13,,실적
삼성중앙,서울,9호선,1,37.513011,127.053282,1652.18,1594.87,1,79,D,1.5,7668,0.2024,6.57,,실적
삼송,경기,일산선,1,37.653096,126.895559,724.62,522.84,1,496,B,3.0,18639,0.1436,4.57,,실적
삼양,서울,우이신설선,1,37.62706,127.01817,1469.22,455.37,1,238,D,1.5,2457,0.1299,2.29,,실적
삼양사거리,서울,우이신설선,1,37.62144,127.02049,1469.22,486.84,1,239,D,1.5,2796,0.1256,2.25,,실적
삼전,서울,9호선,1,37.504531,127.087211,1789.67,1594.87,1,81,C,2.0,8267,0.1557,4.03,,실적
상갈,경기,분당선,1,37.261797,127.108718,1653.3,2296.1,1,432,D,1.5,4933,0.1301,5.15,,실적
상계,서울,4호선,1,37.660576,127.073199,1980.58,417.47,1,349,B,3.0,18774,0.1465,2.19,,실적
상도,서울,7호선,1,37.50279,126.947949,1134.96,1709.29,1,173,C,2.0,11085,0.135,2.86,,실적
상동,경기,도시철도 7호선,1,37.505769,126.753081,365.03,1456.68,1,157,E,1.0,,,,,
상록수,경기,안산과천선,1,37.302845,126.866533,933.47,2254.35,1,48,C,2.0,13740,0.1546,8.03,,실적
상봉,서울,7호선|경의중앙선|경춘선,3,37.595894,127.085705,1925.12,713.74,3,548|549|550,B,3.0,23611,0.1403,2.76,,실적
상수,서울,6호선,1,37.547704,126.92292,807.2,1255.75,1,26,C,2.0,10277,0.0937,9.76,,실적
상왕십리,서울,2호선,1,37.564504,127.028872,,,0,,C,2.0,14002,0.1564,4.42,,실적
상월곡,서울,6호선,1,37.606392,127.048509,1721.33,585.44,1,301,D,1.5,6187,0.1524,2.67,,실적
상일동,서울,5호선,1,37.556714,127.166381,2170.7,1191.15,1,142,C,2.0,13860,0.1751,4.87,,실적
상천,경기,경춘선,1,37.770305,127.4542,2433.37,491.05,1,327,E,1.0,275,0.093,,,실적
상현,경기,신분당선,1,37.298685,127.06958,1619.94,2229.34,1,191,D,1.5,2524,0.1981,,,실적
새말,경기,의정부,1,37.748899,127.063869,2108.76,203.11,1,367,D,1.5,7846,0.2225,4.25,,실적
새절,서울,6호선,1,37.591148,126.913613,799.77,712.21,1,520,C,2.0,12206,0.1702,3.04,,실적
샛강,서울,9호선|신림선,2,37.51726,126.928902,1063.97,1463.03,1,619,C,2.0,9302,0.1888,5.49,,실적
서강대,서울,경의중앙선,1,37.552132,126.935389,888.63,1191.12,1,293,E,1.0,2207,0.0995,7.67,,실적
서구청,인천,인천지하철 2호선,1,37.543839,126.676795,129.99,1222.99,1,464,E,1.0,,,,,
서대문,서울,5호선,1,37.565812,126.966639,985.42,843.93,1,128,B,3.0,17155,0.2085,6.84,,실적
서동탄,경기,1호선,1,37.195675,127.051893,,,0,,E,1.0,1368,0.2432,,,실적
서부여성회관,인천,인천지하철 2호선,1,37.500298,126.675875,,,0,,E,1.0,,,,,
서빙고,서울,경의중앙선,1,37.51961,126.988358,1345.69,1336.26,1,294,E,1.0,2168,0.1225,6.99,,실적
서울,서울,1호선|4호선|경의중앙선|인천국제공항선,4,37.554013,126.97163,1219.5,1092.4,1,523,S,8.0,119550,0.1176,10.45,Y,실적
서울대벤처타운,서울,신림선,1,37.472041,126.933977,1026.01,1934.22,1,168,C,2.0,9713,0.1586,2.72,,실적
서울대입구,서울,2호선,1,37.481233,126.952745,1113.44,1846.43,1,251,A,5.0,45369,0.1319,2.71,,실적
서울숲,서울,분당선,1,37.543647,127.044686,1608.73,1238.87,1,410,C,2.0,11741,0.144,8.58,,실적
서울지방병무청,서울,신림선,1,37.506047,126.922783,1058.32,1598.75,1,164,D,1.5,3101,0.1391,3.01,,실적
서원,서울,신림선,1,37.478273,126.933228,1007.14,1898.32,1,167,D,1.5,3635,0.1822,3.28,,실적
서정리,경기,1호선,1,37.056459,127.052844,946.76,2472.37,1,508,C,2.0,8647,0.1147,,,실적
서초,서울,2호선,1,37.49191,127.007945,1382.12,1858.39,1,254,B,3.0,20970,0.1525,3.78,,실적
서현,경기,분당선,1,37.384931,127.123249,1980.04,2119.82,1,421,B,3.0,23348,0.1194,2.9,,실적
석계,서울,1호선|6호선,2,37.615072,127.065758,1757.45,579.27,1,561,B,3.0,18398,0.1339,3.25,,실적
석남,인천,도시철도 7호선|인천지하철 2호선,2,37.50671,126.676258,129.98,1461.96,1,605,E,1.0,,,,,
석바위시장,인천,인천지하철 2호선,1,37.457659,126.692387,307.86,1794.48,1,470,E,1.0,1460,0.1971,,,실적
석수,경기,1호선,1,37.435161,126.902233,795.17,1907.98,1,218,D,1.5,7534,0.1487,3.3,,실적
석천사거리,인천,인천지하철 2호선,1,37.456932,126.710383,440.06,1820.08,1,471,E,1.0,,,,,
석촌,서울,8호선|9호선,2,37.505237,127.106969,1882.18,1589.59,1,671,B,3.0,18693,0.1049,3.37,,실적
석촌고분,서울,9호선,1,37.502439,127.096611,1833.83,1594.87,1,82,D,1.5,7379,0.1514,3.5,,실적
선릉,서울,2호선|분당선,2,37.504368,127.048558,1608.73,1754.04,1,648,S,8.0,65681,0.193,3.87,,실적
선바위,경기,안산과천선,1,37.451854,127.002164,1245.92,1972.38,1,36,D,1.5,6984,0.1369,,,실적
선부,경기,서해선,1,37.33459,126.81,723.18,2201.12,1,211,E,1.0,,,,,
선유도,서울,9호선,1,37.537778,126.893889,702.68,1297.63,1,103,C,2.0,8560,0.151,4.4,,실적
선정릉,서울,9호선|분당선,2,37.510528,127.043738,1608.73,1599.65,1,624,B,3.0,16508,0.1871,4.19,,실적
선학,인천,인천지하철 1호선,1,37.426985,126.698872,333.37,2022.95,1,399,C,2.0,9614,0.1414,2.41,,실적
성균관대,경기,1호선,1,37.300344,126.970861,1113.94,2226.74,1,225,C,2.0,14109,0.1638,3.27,,실적
성남,경기,경강선,1,37.394709,127.11949,1964.74,2097.71,1,678,E,1.0,1414,0.1554,2.9,,실적
성복,경기,신분당선,1,37.314043,127.080758,1696.34,2229.34,1,192,B,3.0,18027,0.188,2.59,,실적
성수,서울,2호선,1,37.544628,127.055983,1804.55,1110.84,2,268|628,S,8.0,57959,0.1781,14.61,Y,실적
성신여대입구,서울,4호선|우이신설선,2,37.592626,127.016949,1465.86,635.09,1,585,B,3.0,25192,0.0824,4.05,,실적
세류,경기,1호선,1,37.244102,127.013772,1158.79,2334.6,1,227,D,1.5,3487,0.1577,,,실적
세마,경기,1호선,1,37.187288,127.043279,1101.26,2392.13,1,229,D,1.5,3387,0.1182,,,실적
세종대왕릉,경기,경강선,1,37.293636,127.570764,2425.34,2338.73,1,277,E,1.0,365,0.0932,,,실적
센트럴파크,인천,인천지하철 1호선,1,37.392833,126.635002,333.37,2328.24,1,407,C,2.0,9943,0.1093,3.64,,실적
소래포구,인천,수인선,1,37.400963,126.733533,413.48,2205.11,1,441,D,1.5,4536,0.1258,,,실적
소사,경기,1호선|서해선,2,37.482755,126.79536,547.69,1647.64,1,610,D,1.5,7627,0.1351,3.39,,실적
소새울,경기,서해선,1,37.468505,126.797228,547.7,1724.49,1,201,B,3.0,16963,0.2086,3.39,,실적
소요산,경기,1호선,1,37.948608,127.061007,,,0,,E,1.0,2065,0.1391,,,실적
솔밭공원,서울,우이신설선,1,37.65607,127.01326,1469.22,329.52,1,234,D,1.5,2569,0.1493,1.92,,실적
솔샘,서울,우이신설선,1,37.62037,127.01357,1469.22,518.3,1,240,D,1.5,5576,0.1753,2.24,,실적
송내,경기,1호선,1,37.487626,126.753045,371.16,1642.22,1,214,B,3.0,23799,0.1416,,,실적
송도,인천,수인선,1,37.429714,126.654486,245.24,2099.91,1,447,D,1.5,2485,0.1104,,,실적
송도달빛축제공원,인천,인천지하철 1호선,1,37.406875,126.626054,251.31,2361.49,1,409,E,1.0,,,,,
송산,경기,의정부,1,37.73717,127.087276,2266.58,257.75,1,3,D,1.5,7174,0.2247,4.25,,실적
송정,서울,5호선,1,37.561411,126.812052,372.83,1062.2,1,125,D,1.5,6107,0.1193,,,실적
송탄,경기,1호선,1,37.075376,127.054397,994.39,2472.37,1,503,D,1.5,4381,0.0973,,,실적
송파,서울,8호선,1,37.49978,127.11212,1882.18,1700.48,1,94,C,2.0,9840,0.1324,3.15,,실적
송파나루,서울,9호선,1,37.51055,127.112451,1918.23,1594.87,1,83,D,1.5,6024,0.1222,4.1,,실적
수내,경기,분당선,1,37.378435,127.114216,1956.36,2143.53,1,420,C,2.0,11769,0.1361,2.9,,실적
수락산,서울,7호선,1,37.677804,127.055314,1868.5,351.05,1,356,C,2.0,12374,0.1259,2.7,,실적
수리산,경기,안산과천선,1,37.350297,126.925537,933.47,2140.54,1,45,D,1.5,3897,0.1546,6.61,,실적
수색,서울,경의중앙선,1,37.580855,126.895681,569.11,871.59,1,373,D,1.5,2950,0.1176,,,실적
수서,서울,3호선|분당선,2,37.48757,127.101221,1845.39,1919.27,2,574|575,A,5.0,35617,0.1021,5.58,,실적
수원,경기,1호선|분당선,2,37.266162,126.999952,1186.53,2296.15,1,667,A,5.0,46856,0.0843,3.12,,실적
수원시청,경기,분당선,1,37.261941,127.030736,1341.12,2296.1,1,427,C,2.0,13591,0.1103,3.81,,실적
수유,서울,4호선,1,37.637127,127.024731,1648.52,452.97,1,348,A,5.0,32883,0.1197,2.91,,실적
수지구청,경기,신분당선,1,37.323009,127.095581,1783.89,2229.34,1,193,B,3.0,16086,0.1894,2.59,,실적
수진,서울,8호선,1,37.437575,127.140936,2052.33,2030.57,1,102,D,1.5,5463,0.1343,2.72,,실적
숙대입구,서울,4호선,1,37.545124,126.971952,1245.92,1181.82,1,31,C,2.0,14478,0.1202,12.92,Y,실적
숭실대입구,서울,7호선,1,37.496258,126.953649,1172.88,1709.29,1,174,C,2.0,11481,0.1407,2.74,,실적
숭의,인천,수인선,1,37.460891,126.638035,224.09,2045.81,1,445,D,1.5,4318,0.1165,,,실적
시민공원,인천,인천지하철 2호선,1,37.458339,126.681009,259.73,1794.48,1,469,D,1.5,7647,0.1677,2.04,,실적
시우,경기,서해선,1,37.313097,126.795503,723.18,2362.51,1,208,E,1.0,1199,0.159,,,실적
시청,서울,1호선|2호선,2,37.563562,126.975339,1048.05,865.66,1,636,S,8.0,51845,0.2163,8.33,,실적
시청·용인대,경기,에버라인,1,37.239442,127.178885,2014.66,2401.84,1,285,E,1.0,367,0.258,,,실적
시흥능곡,경기,서해선,1,37.36999,126.808594,670.6,2116.04,1,207,D,1.5,5194,0.1852,7.75,,실적
시흥대야,경기,서해선,1,37.450479,126.793142,547.69,1886.87,1,203,E,1.0,2,0.68,,,실적
시흥시청,경기,서해선,1,37.381411,126.805946,630.92,2076.32,1,206,D,1.5,7001,0.1782,7.75,,실적
신갈,경기,분당선,1,37.286127,127.111311,1762.27,2296.1,1,425,D,1.5,4614,0.1449,5.15,,실적
신검단중앙,인천,인천지하철 1호선,1,37.6026,126.698611,236.79,923.36,1,680,E,1.0,,,,,
신금호,서울,5호선,1,37.554504,127.020403,1534.77,972.26,1,130,D,1.5,5994,0.1496,4.56,,실적
신길,서울,1호선|5호선,2,37.517324,126.916314,954.49,1525.18,1,669,C,2.0,13063,0.1498,5.53,,실적
신내,서울,6호선|경춘선,2,37.612713,127.103802,2072.17,652.89,1,560,D,1.5,2857,0.1569,6.17,,실적
신논현,서울,9호선|신분당선,2,37.5045,127.024474,1510.51,1599.65,1,623,A,5.0,31373,0.116,4.87,,실적
신답,서울,2호선,1,37.56147,127.056348,1746.92,936.11,1,266,E,1.0,1677,0.2309,8.77,,실적
신당,서울,2호선|6호선,2,37.565928,127.017823,1485.76,859.26,1,597,B,3.0,23545,0.0922,6.34,,실적
신대방,서울,2호선,1,37.487534,126.913279,971.93,1775.08,1,249,B,3.0,24061,0.1796,3.4,,실적
신대방삼거리,서울,7호선,1,37.499717,126.928218,1053.35,1709.29,1,172,C,2.0,14461,0.1696,2.21,,실적
신도림,서울,1호선|2호선,2,37.508899,126.891368,830.46,1635.06,1,617,S,8.0,50573,0.1042,4.35,,실적
신둔도예촌,경기,경강선,1,37.315499,127.405251,2303.38,2216.84,1,274,E,1.0,1409,0.1331,,,실적
신림,서울,2호선|신림선,2,37.484553,126.929591,1007.14,1803.71,1,618,S,8.0,56867,0.1636,3.95,,실적
신목동,서울,9호선,1,37.544167,126.883056,659.48,1254.45,1,104,D,1.5,4483,0.1693,4.03,,실적
신반포,서울,9호선,1,37.503503,126.996044,1355.1,1538.78,1,76,D,1.5,4864,0.0959,5.04,,실적
신방화,서울,9호선,1,37.5675,126.816667,473.2,956.58,1,112,D,1.5,6792,0.1429,4.17,,실적
신사,서울,3호선|신분당선,2,37.516282,127.020004,1431.62,1449.63,1,577,B,3.0,25178,0.161,5.81,,실적
신설동,서울,1호선|2호선|우이신설선,3,37.575787,127.024363,1572.29,746.49,3,587|588|589,B,3.0,20665,0.1291,6.82,,실적
신연수,인천,인천지하철 1호선,1,37.418032,126.693853,333.37,2062.85,1,400,E,1.0,,,,,
신용산,서울,4호선,1,37.52919,126.96858,,,0,,B,3.0,22776,0.1546,4.9,,실적
신원,경기,경의중앙선,1,37.525921,127.372745,2433.83,754.9,1,317,E,1.0,165,0.0885,,,실적
신이문,서울,1호선,1,37.601829,127.067347,1757.45,620.39,1,305,C,2.0,8389,0.1675,5.37,,실적
신정,서울,5호선,1,37.525001,126.856176,607.04,1347.15,1,120,C,2.0,13033,0.1924,3.34,,실적
신정네거리,서울,2호선,1,37.520218,126.852849,731.52,1554.32,1,263,C,2.0,9304,0.1734,3.7,,실적
신중동,경기,도시철도 7호선,1,37.503081,126.776161,471.73,1493.87,1,153,A,5.0,29939,0.1556,3.15,,실적
신천,경기,서해선,1,37.439115,126.786835,547.69,1975.37,1,204,E,1.0,,,,,
신촌,서울,2호선,1,37.555153,126.93689,831.29,1061.36,1,246,A,5.0,38180,0.0943,8.73,,실적
신촌(경의),서울,경의중앙선,1,37.559768,126.942308,740.58,1043.18,1,637,B,3.0,25915,0.1075,9.84,,실적
신포,인천,수인선,1,37.468442,126.624509,224.09,2012.7,1,444,E,1.0,1704,0.0993,,,실적
신풍,서울,7호선,1,37.500107,126.909806,948.94,1709.29,1,170,C,2.0,11528,0.1476,4.04,,실적
신현,경기,서해선,1,37.40914,126.78788,591.24,2036.6,1,205,D,1.5,5832,0.1827,7.75,,실적
신흥,서울,8호선,1,37.440952,127.14759,2095.08,2030.57,1,101,D,1.5,5437,0.1372,2.43,,실적
쌍문,서울,4호선,1,37.648274,127.034381,1703.3,417.58,1,16,A,5.0,28164,0.1474,2.25,,실적
아라,인천,인천지하철 1호선,1,37.592222,126.713333,236.79,985.55,1,679,E,1.0,,,,,
아시아드경기장,인천,인천지하철 2호선,1,37.551373,126.677075,129.99,1158.42,1,462,E,1.0,,,,,
아신,경기,경의중앙선,1,37.513954,127.443238,2433.83,812.84,1,319,E,1.0,512,0.1063,,,실적
아차산,서울,5호선,1,37.552005,127.089609,1995.92,1043.82,1,135,C,2.0,13800,0.1355,3.24,,실적
아현,서울,2호선,1,37.557407,126.956079,918.74,956.68,1,244,C,2.0,10574,0.1386,6.75,,실적
안국,서울,3호선,1,37.576562,126.98547,1169.78,686.35,1,60,B,3.0,25224,0.1572,9.6,,실적
안산,경기,수인선|안산과천선,2,37.327006,126.788748,668.4,2289.77,1,581,C,2.0,11611,0.1204,,,실적
안암,서울,6호선,1,37.586261,127.02903,1549.1,665.46,1,297,C,2.0,11321,0.1256,4.07,,실적
안양,경기,1호선,1,37.401929,126.922647,871.71,1984.52,1,220,B,3.0,20652,0.1415,2.91,,실적
암사,서울,8호선,1,37.550127,127.127521,2031.13,1217.91,1,89,B,3.0,15440,0.1636,2.62,,실적
암사역사공원,서울,8호선,1,37.557167,127.137556,2061.01,1187.55,1,90,D,1.5,6895,0.17,2.74,,실적
압구정,서울,3호선,1,37.526169,127.028502,1431.62,1414.73,1,51,A,5.0,30521,0.1484,9.25,,실적
압구정로데오,서울,분당선,1,37.527385,127.040555,1608.73,1329.66,1,411,B,3.0,18096,0.1583,9.73,,실적
애오개,서울,5호선,1,37.553592,126.956733,985.42,1115.54,1,115,D,1.5,6330,0.1458,6.43,,실적
야당,경기,경의중앙선,1,37.712749,126.761535,452.85,289.23,1,375,D,1.5,7186,0.1252,,,실적
야목,경기,수인선,1,37.261211,126.884029,1011.25,2296.1,1,437,E,1.0,753,0.1568,,,실적
야탑,경기,분당선,1,37.41132,127.128661,2006.08,2063.93,1,418,B,3.0,24127,0.1055,,,실적
약수,서울,3호선|6호선,2,37.55438,127.010432,1431.61,1129.77,1,592,B,3.0,15859,0.0956,6.58,,실적
양수,경기,경의중앙선,1,37.545998,127.328948,2433.63,725.93,1,316,E,1.0,2140,0.0977,,,실적
양원,서울,경의중앙선,1,36.963729,129.091321,2067.76,713.24,1,308,D,1.5,3029,0.1424,,,실적
양재,서울,3호선|신분당선,2,37.484557,127.034615,1510.51,1913.82,1,653,A,5.0,34561,0.1822,3.74,,실적
양재시민의숲,서울,신분당선,1,37.470964,127.03842,1543.76,1986.28,1,187,A,5.0,28186,0.1722,3.05,,실적
양정,경기,경의중앙선,1,37.604269,127.194602,2222.28,713.24,1,311,E,1.0,489,0.1144,,,실적
양주,경기,1호선,1,37.774281,127.044719,2009.42,154.68,1,12,D,1.5,6621,0.1333,,,실적
양천구청,서울,2호선,1,37.512194,126.865193,681.1,1503.78,1,264,D,1.5,6354,0.1658,10.13,Y,실적
양천향교,서울,9호선,1,37.568333,126.841389,555.89,1019.53,1,108,C,2.0,10468,0.1291,5.32,,실적
양촌,경기,김포도시철도,1,37.641639,126.614694,77.49,642.13,1,484,C,2.0,8323,0.192,4.07,,실적
양평,경기,5호선|경의중앙선,2,37.509144,127.189018,716.7,1456.96,1,117,C,2.0,11256,0.1302,2.84,,실적
어룡,경기,의정부,1,37.742722,127.085204,2245.23,236.42,1,4,D,1.5,7237,0.2245,4.25,,실적
어린이대공원,서울,7호선,1,37.547962,127.07465,1885.58,1143.29,1,182,C,2.0,13501,0.1105,5.37,,실적
어정,경기,에버라인,1,37.274951,127.14375,1827.74,2401.84,1,281,D,1.5,5204,0.1783,5.15,,실적
어천,경기,수인선,1,37.250076,126.908805,1054.72,2296.1,1,435,E,1.0,1454,0.1014,,,실적
언주,서울,9호선,1,37.507287,127.033868,1561.32,1594.87,1,78,C,2.0,11422,0.1904,4.26,,실적
여의나루,서울,5호선,1,37.527145,126.932807,985.42,1428.01,1,114,C,2.0,13162,0.163,5.94,,실적
여의도,서울,5호선|9호선,2,37.521661,126.924242,985.42,1463.02,1,620,S,8.0,57226,0.2022,5.91,,실적
여주,경기,경강선,1,37.282881,127.628571,2466.58,2379.95,1,278,D,1.5,2897,0.1087,,,실적
역곡,경기,1호선,1,37.48514,126.811622,583.35,1642.22,1,200,B,3.0,23391,0.1562,,,실적
역삼,서울,2호선,1,37.500658,127.03643,1561.19,1783.1,1,255,A,5.0,45814,0.2047,4.14,,실적
역촌,서울,6호선,1,37.60605,126.922764,963.48,548.48,1,29,D,1.5,3979,0.1492,2.84,,실적
연수,인천,수인선,1,37.417769,126.678991,287.8,2099.9,1,448,D,1.5,4466,0.1119,,,실적
연신내,서울,3호선|6호선,2,37.618726,126.920689,883.47,522.84,3,545|546|547,A,5.0,36543,0.1329,2.95,,실적
연천,경기,1호선,1,38.100485,127.07368,,,0,,E,1.0,1209,0.1107,,,실적
염창,서울,9호선,1,37.546944,126.874722,615.79,1210.92,1,105,B,3.0,17610,0.1652,4.04,,실적
영등포,서울,1호선,1,37.515756,126.907411,887.71,1580.67,1,196,A,5.0,42519,0.1311,5.42,,실적
영등포구청,서울,2호선|5호선,2,37.524987,126.895824,773.03,1513.05,1,609,A,5.0,26804,0.1648,4.41,,실적
영등포시장,서울,5호선,1,37.52276,126.905143,856.93,1518.89,1,116,C,2.0,11083,0.1285,5.19,,실적
영종,인천,인천국제공항선,1,37.512098,126.524247,52.92,1864.28,1,478,D,1.5,4599,0.1446,,,실적
영통,경기,분당선,1,37.251521,127.071341,1528.43,2296.1,1,430,C,2.0,8632,0.0956,,,실적
예술회관,인천,인천지하철 1호선,1,37.449334,126.700991,333.37,1903.24,1,396,E,1.0,,,,,
오금,서울,3호선|5호선,2,37.502258,127.128022,2019.18,1729.41,1,665,C,2.0,9838,0.1325,3.88,,실적
오남,경기,진접선,1,37.705406,127.191644,2159.63,417.47,1,352,D,1.5,6886,0.2176,4.14,,실적
오류동,서울,1호선,1,37.4944,126.844551,673.38,1642.22,1,199,C,2.0,11064,0.152,3.89,,실적
오리,경기,분당선,1,37.339832,127.108985,1933.24,2262.16,1,419,C,2.0,10292,0.1053,2.59,,실적
오목교,서울,5호선,1,37.524557,126.875049,680.57,1420.86,1,118,B,3.0,20598,0.0986,3.15,,실적
오목천,경기,수인선,1,37.243011,126.963635,1100.61,2296.1,1,434,D,1.5,3766,0.1162,,,실적
오빈,경기,경의중앙선,1,37.506061,127.474053,2433.78,841.81,1,320,E,1.0,305,0.1051,,,실적
오산,경기,1호선,1,37.145472,127.066708,1053.28,2440.11,1,230,C,2.0,10414,0.0879,,,실적
오산대,경기,1호선,1,37.169401,127.063081,1077.27,2416.12,1,228,D,1.5,3649,0.1235,,,실적
오이도,경기,수인선|안산과천선,2,37.361773,126.738437,454.9,2289.77,1,578,D,1.5,7457,0.1235,,,실적
옥수,서울,3호선|경의중앙선,2,37.541084,127.018,1431.62,1295.02,1,595,C,2.0,9008,0.1194,5.24,,실적
온수,서울,1호선|7호선,2,37.492163,126.823346,624.28,1645.22,1,611,C,2.0,14634,0.1534,3.62,,실적
올림픽공원,서울,5호선|9호선,2,37.516164,127.130645,1995.92,1589.6,1,672,B,3.0,18624,0.1051,2.8,,실적
완정,인천,인천지하철 2호선,1,37.592867,126.672961,129.99,944.42,1,460,E,1.0,,,,,
왕길,인천,인천지하철 2호선,1,37.595019,126.642284,129.99,838.1,1,456,E,1.0,,,,,
왕십리,서울,2호선|5호선|경의중앙선|분당선,4,37.561467,127.03747,1650.18,972.26,4,526|527|528|529,A,5.0,36869,0.0935,5.1,,실적
외대앞,서울,1호선,1,37.596157,127.063572,1757.45,658.42,1,304,C,2.0,11210,0.1305,5.22,,실적
용답,서울,2호선,1,37.566412,126.977863,1774.36,972.26,1,132,D,1.5,2870,0.1704,13.23,Y,실적
용두,서울,2호선,1,37.574012,127.03811,1654.06,843.1,1,267,E,1.0,2216,0.1443,,,실적
용마산,서울,7호선,1,37.573752,127.086802,1925.12,885.71,1,184,D,1.5,5520,0.1707,2.98,,실적
용문,경기,경의중앙선,1,37.482085,127.594251,2433.64,928.72,1,323,E,1.0,2239,0.1071,,,실적
용산,서울,1호선,1,37.52989,126.964775,1148.33,1341.73,1,596,S,8.0,50520,0.1177,4.87,,실적
용유,인천,자기부상철도,1,37.424805,126.423637,,,0,,E,1.0,209,0.157,,,실적
