id,x,y,r,환승,역명,색목록
305,1757.45,620.39,2.9,N,신이문,#004b84
306,2013.63,588.14,2.9,N,화랑대,#713b1d
307,2046.64,620.69,2.9,N,봉화산,#713b1d
308,2067.76,713.24,2.9,N,양원,#6bc2b3
309,2137.26,713.24,3.15,Y,구리,#6bc2b3|#e5006a
310,2179.58,713.24,2.9,N,도농,#6bc2b3
311,2222.28,713.24,2.9,N,양정,#6bc2b3
312,2264.98,713.24,2.9,N,덕소,#6bc2b3
313,2307.68,713.24,2.9,N,도심,#6bc2b3
314,2350.38,713.24,2.9,N,팔당,#6bc2b3
315,2393.07,713.24,2.9,N,운길산,#6bc2b3
316,2433.63,725.93,2.9,N,양수,#6bc2b3
317,2433.83,754.9,2.9,N,신원,#6bc2b3
318,2433.78,783.87,2.9,N,국수,#6bc2b3
319,2433.83,812.84,2.9,N,아신,#6bc2b3
320,2433.78,841.81,2.9,N,오빈,#6bc2b3
321,2433.43,870.78,2.9,N,,#6bc2b3
322,2433.64,899.76,2.9,N,원덕,#6bc2b3
323,2433.64,928.72,2.9,N,용문,#6bc2b3
324,2433.64,957.7,2.9,N,지평,#6bc2b3
325,2433.37,392.96,2.9,N,,#006550
326,2433.37,458.35,2.9,N,가평,#006550
327,2433.37,491.05,2.9,N,상천,#006550
328,2433.37,523.75,2.9,N,청평,#006550
329,2433.37,556.45,2.9,N,대성리,#006550
330,2433.37,589.14,2.9,N,마석,#006550
331,2415.67,631.6,2.9,N,천마산,#006550
332,2364.44,631.6,2.9,N,평내호평,#006550
333,2320.27,631.6,2.9,N,금곡,#006550
334,2276.1,631.6,2.9,N,사릉,#006550
335,2232.16,631.6,2.9,N,퇴계원,#006550
336,2179.1,636.48,3.15,Y,별내,#006550|#e5006a
337,2136.54,631.6,2.9,N,갈매,#006550
338,2433.37,360.26,2.9,N,,#006550
339,2433.37,327.56,2.9,N,,#006550
340,2433.37,294.86,2.9,N,,#006550
341,2433.37,262.16,2.9,N,,#006550
342,1925.12,528.75,2.9,N,공릉,#69702e
343,1925.12,490.88,2.9,N,하계,#69702e
344,1925.12,454.42,2.9,N,중계,#69702e
345,1527.97,573.53,2.9,N,길음,#009bce
346,1568.15,533.34,2.9,N,미아사거리,#009bce
347,1608.34,493.16,2.9,N,미아,#009bce
348,1648.52,452.97,2.9,N,수유,#009bce
349,1980.58,417.47,2.9,N,상계,#009bce
350,2025.98,417.47,2.9,N,불암산,#009bce
351,2097.06,417.47,2.9,N,별내별가람,#009bce
352,2159.63,417.47,2.9,N,오남,#009bce
353,2222.21,417.47,2.9,N,진접,#009bce
354,1984.06,322.83,2.9,N,장암,#69702e
